@relation corpus_tweets_t1 
@attribute text string 
@attribute classe {+,-,=}
@data
"le Club des Ambassadeurs d'Alsace - Portrait du mois : Nicolas Boidevezi http://t.co/6pJVPY6gH3", =
"CC @SDE2014 @Solar_Decathlon // L’innovation rayonne à Versailles >> http://t.co/G0ShyTRJvq", +
"#développementdurable Les appareils connectés en mode veille : un gâchis planétaire http://t.co/7fEIyJ3RsI", -
"60Mds€, c'est la conso mondiale des appareils en veille : http://t.co/gMwqq71vTD #gachis", =
"Appareil connecté : coût planétaire, gâchis environnemental http://t.co/rT1FRSgHj1", -
"Suivi de la démarche développement durable Iso 26000 - #HAUTSdeSEINE http://t.co/sgfg9HA5Tn", =
"Avis de l'Autorité environnementale, relatif au projet INTERREG V entre la France (Manche) et Angleterre 2014-... http://t.co/gGnXSOZf8C", =
"Avis de l'Autorité environnementale, relatif au projet INTERREG V entre la France (Manche) et Angleterre 2014-... http://t.co/gGnXSOZf8C", =
"Le bambou, ses vertus écologiques et...humaines http://t.co/RKY2wqVnh2", +
"remarque si on utilisait ça pour les peintures ce serait plus écologiques, bon l'odeur serait pas excellente mais un peu de febreze et hop", -
"Mode veille : un gâchis planétaire de 60 Milliards d €/an http://t.co/eb2DkGXs9H via @futurasciences @FUTUREMAGfr http://t.co/IC8YN21ZwT", -
"Infographie intéressante au sujet des villes les plus écologiques du monde ! http://t.co/u5yp0oIXnr", +
"#Saint-Brieuc. Soixante-deux éoliennes offshore de 8 MW http://t.co/QoL7Z2KuyL #EMR #MER #BRETAGNE #BREST", =
"Développement durable : dix métiers d'avenir. http://t.co/6iTGwKnjxH", =
"La ville, écosystème du XXIème siècle http://t.co/yQQPWrMM3T", =
"#Algérie #eau Les centrales hydroélectriques bientôt à l’arrêt http://t.co/yd9cisYdpA via @@JournaLiberteDZ", =
"Prévention des risques d’inondation - La stratégie face aux risques d’inondations : ne plus subir, mais anticiper http://t.co/oiWdX7a5Vm", +
"La stratégie face aux risques d’ #inondations : ne plus subir, mais anticiper et organiser #gescrise #gesrisque http://t.co/tGMznmwdxf", +
"UNECA - Le Maroc accueillera la quatrième Conférence sur le changement climatique et le développement sur les ... http://t.co/1WoIk5itlR", +
"#Climat : l’assombrissement de la surface du Groenland au printemps amplifie le changement climatique sur la calotte http://t.co/BhhZS8fM2B", -
"Pour bien préparer les #vacances au bord de l'eau. Voici un guide des loisirs #nautiques en #eau douce ! http://t.co/glJX6DuPt6", +
"Le Directeur de cabinet du ministre de l’Environnement et du Développement durable Abdoulaye Baldé, a indiqué que... http://t.co/cn9RlWSgyg", =
"RT @lamarsweb 185 millions d’euros pour assainir les eaux http://t.co/a6bqWMhR1r", =
"#smurfitkappa renforce son engagement en faveur de la lutte contre le changement climatique http://t.co/2S7RIhWHbU", +
"Mission commerciale #France-3Québec sur le 3développement Edurable - Infopresse | @scoopit http://t.co/oLxYelODD3", =
"Fiasco énergétique – Si vous ne vous intéressez pas à l'écologisme, ce dernier s'occupe par contre beaucoup de vous! http://t.co/hmqRk2PYP4", -
"Fiasco énergétique – Echec économique & social du développement durable, paradigme idéologique dominant en Europe http://t.co/hmqRk2PYP4", -
"Des antillais investissent en Afrique | Afrique... http://t.co/77a3qFMClI", +
"Ca tourne dans tous les sens pour Robby Swift sur fond d'éoliennes à Pozo !4min rafraîchissantes ! http://t.co/Qd2RI0rYaQ via @windmagazine", =
"@mdrechsler @wleloutre @relaisdsciences @lauredlr Créer tjrs + de disciplines (développement durable p e), c'est une mauvaise direction", -
"Bizarre, plutôt que des factures de l'@ump (voleurs actuels) @Valeurs choisit de parler des éoliennes. Bizarre, bizarre.", -
"Les #abeilles plus sensibles aux #pesticides quand la #météo est mauvaise  via @cftchus http://t.co/jIUWIgzxBb #Biodiversité", -
""On passe à la #chasse aux #loups sans le dire" via @Pescalune http://t.co/KiD1N1Oq7v #Biodiversité", =
"Bonjour à tous,   Le mercredi 16 juillet 2014 un stand d’animation "développement durable" sera installé toute la... http://t.co/Y7a0AJ4KZX", =
"#Climat #mardiDD #DD Plan de match trifluvien pour le développement durable - L'Hebdo http://t.co/wkoXhtjIS8 http://t.co/ExxhlvEsCz", =
"#DD Plan de match trifluvien pour le développement durable - L'Hebdo http://t.co/DqRUAUR98X http://t.co/LJwCsh2Qka", =
"Performance environnementale #bâtiments : les professionnels veulent expérimenter avant le label | @Le_Moniteur/ http://t.co/cKmItVBdEF", =
"#Budget #2015 : le ministère de l'#Ecologie de nouveau à la diète | @ecologiEnergie http://t.co/dPAubin36V", =
"L'avis de la commission du développement durable de l'AN sur la #reformeterritoriale http://t.co/KSUJQhTnGS", =
"Le nucléaire c'est mal, les éoliennes c'est moche, le charbon ça pue !", -
"La Lettre "Mobilité Durable" du #Cerema est sortie! http://t.co/mUVfEBLSlL avec notamment @OlivierRazemon @GroupeChronos ou @MobiliTDurable", =
"12e édition de l'Université d'été de la #communication pour le #développement #durable 11 et 12 septembre à Bordeaux http://t.co/owBlpv1l4a", =
"Éoliennes : le rapport qui accuse | Valeurs Actuelles http://t.co/G5N0b4VR7c via @valeurs", -
"La Compagnie du Vent, Groupe GDF Suez, et le fonds Mirova Eurofideme 2, partenaires dans 5 centrales solaires au sol http://t.co/oEtBGyWVBx”", +
"# ARCHITECTURE  #DEVELOPPEMENT DURABLE # ENERGIE • Des rêves pas impossibles  http://t.co/8nAW9kwQwR via @courrierinter", +
"Cannabis et changement climatique http://t.co/6voyYsHSBr", =
"Éoliennes, béton, abandon du patrimoine, vandalisme municipal!L'impérialisme du laid! Le poids ds enveloppes!#FranceDéfigurée #FranceBradée", -
"@CedricDelpoux @afup @agencee Et voila la version 2014 http://t.co/SsyQXkhUSw", =
"Impressionnante petite élise d'éoliennes :/ Wow #dansleparc #letape http://t.co/Lc8CA013Ow", +
"Réchauffement climatique => extension de la banquise !!!!!! http://t.co/KMuppRwdfC", =
"@ThCharmasson Bonjour & merci pour ce tweet. Juste te rappeler : nous ne sommes plus agence de l'environnement mais du développement durable", +
"Tout l'écosystème #numerique bordelais @FrenchTechBx et @CiteNumerique mobilisés pour sa candidature à @LaFrenchTech http://t.co/H8JU1ypUa3", =
"Eoliennes : «on croit devenir fou » - L’implantation de quatre engins sur un village du Saumuroi... http://t.co/nUa2pD8rZM", -
"Le #développementdurable et les #applicationsmobiles - http://t.co/aadZQyTdMT", =
"Le toit-eoliennes http://t.co/nqmbHOji2F", =
"Conseil d'Enfants et de Jeunes (9-11 ans) de Schiltigheim, 67300. Handicap, visuel, auditif, moteur, action !:... http://t.co/9ESaPnlReT", =
"@bertin85 Des éoliennes proches d'habitation sont une nuisance ;de plus, elles sont des tueuses pour nos oiseaux (via LPO)@Valeurs @coolise", -
"Conseiller/Conseillère en développement durable (remplacement d'une... http://t.co/eKfmE7j37u", =
"Conseiller/Conseillère en développement durable (remplacement d'une... http://t.co/eKfmE7j37u", =
"Une web série pour sensibiliser aux gestes écologiques en entreprise http://t.co/jOf0oMfCte", =
"Affaires #Sarkozy: ce n’est pas terminé! http://t.co/t7Cf7PVDd0 OM-VA, changement climatique, Ordre temple solaire...le #SM ne lâchera rien", =
"Alain #Rousset observe, avec malice, que l'écosystème recherche-université est beaucoup plus complexe que le mille feuille territorial !", -
"Ministère du Développement durable, de l’Environnement et de la Lutte contre les changements clima tiques |... http://t.co/VvymXXkVZE", +
"Ce soir @SolarPhileas est 3ème au prix développement durable et 1er au classement général !! Dernière ligne droite ! http://t.co/IpGqQB9Ivq”", +
"@Poupinouik @heavens66 tu as raison, puis si je me prends un vent, pas grave, les éoliennes, c tendance #MerciSégolène", +
"@Debs_Styles_972 De la vie! :D Suivi des changement climatique, du changement de l'espace, ces cellules ce sont crées, voilà ce que je pense", =
"@whiwofbs pour des raisons écologiques, sanitaires, pour lutter contre la famine, et à terme pour des questions de place", -
"Exporter l'électricité en Ontario, ça rapporte! | http://t.co/aEv6f7vLXT - Pour des choix écologiques,... http://t.co/6imiNHv4UR", =
"Réchauffement climatique et d'autres problème du changement climatique affecte tout le monde à certains, http://t.co/AeJziCYyCA", -
"[Rediff]: Il a 13 ans et révolutionne les panneaux solaires http://t.co/0qtf3XTTzC", +
"Ingénieur Logistique et développement durable - Stage http://t.co/3ba9EqNngT #stage #Logistique", =
"Ingénieur Logistique et développement durable - Stage http://t.co/3ba9EqNngT #stage #Logistique", =
"La #Chine veut combattre les particules fines par l'hydraulique...mais menace la #biodiversité dans l'Himalaya | http://t.co/mqsmg2DLic", -
"Prix des femmes pour le développement durable http://t.co/Q0KnU50pni Clôture des candidatures 15 juillet 2014", =
"@Kyoht putain changement climatique.", -
"Éoliennes "prises illégales d'intérêt impliquant des élus locaux" http://t.co/Z2ab8LteiE", -
"Récoltez tous les bienfaits de la détoxification: santé, énergie, peau lisse & rajeunie, perte de poids naturelle >> http://t.co/Th6PFB1DDA", +
"Louis Giscard d'Estaing répertorié dans les 18 maires de France  favorables aux voitures écologiques par son action http://t.co/J61mqZmxwC", +
"#climat Les éoliennes, arme de torture massive pour les êtres vivants. http://t.co/riK55KcK8J … http://t.co/GTKnStcoKU", -
"Lorsque les Esprits jeunes développent des idées d'adultes, Je crois que c'est aussi là le développement durable.... http://t.co/y1p7dqgxvs", =
"Eoliennes en mer : une convention signée au Havre avec Areva pour favoriser le recrutement local : http://t.co/0Yb0noTtl4 #Rouen", +
"#risque #inondation : Anticiper, la stratégie gouvernementale http://t.co/XUtj7k6jAN via @ecologiEnergie", +
"Brétigny, un an après : réagir, soutenir, accompagner http://t.co/ZcVaPKBRGR http://t.co/94hAIy7gzZ", +
"Avantage panneaux solaires : l’énergie solaire est inépuisable contrairement aux énergies fossiles. http://t.co/azbprC9wXJ", +
"#Bruxelles boude le #Fonds vert pour le #climat par @EuroActiv_FR | @Actuenviro http://t.co/eFKkE9W0GI", -
"@darkbxakid un ecosysteme integrer dans la tour xD", =
"#biodiversité L'Assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http://t.co/atfh2OmlVB", -
"Protection de la biodiversité : dysfonctionnement inacceptable dans le cur du parc national des Écrins:  Depu... http://t.co/n2fwTH2PI2", -
"idkw je kiffe les éoliennes", +
"@C_Rossignol c'est une solution contre le changement climatique et la pollution atmosphérique, dans les pays qui ont une culture de sûreté.", +
"L'Algérie décide de fermer ses centrales hydroélectriques - Portail Algérien des ENERGIES RENOUVELABLES http://t.co/3n9sAnCMBY", -
"Université d'été de la communication pour le développement durable - Université d'été de la communic... | @scoopit http://t.co/q7eDAQsEhV", =
"Mode d'emploi du réseau social Humanite-Biodiversite.fr http://t.co/FgwbJkt9Z4", =
"#énergie Les appareils connectés en mode veille : un gâchis planétaire: http://t.co/khtuEicJPX", -
"Le Parc naturel marin d'iroise http://t.co/LoEHvw4tKe #Biodiversite", =
"Parcs naturels régionaux : douze projets pour innover dans les territoires ruraux - Localti... | @scoopit http://t.co/ORLuGqfxcA", +
"Publication du N°4 de la collection Saga sur : Saga sur la Nuit, la biodiversité nocturne et la poll... | @scoopit http://t.co/3yJmu2g9sD", -
"#Important #Actu Les appareils en mode veille : un gâchis planétaire http://t.co/IsgP9Q1... http://t.co/C4LfBxtflf #Politique #Tele #PS", -
"États-Unis : des oiseaux carbonisés par des panneaux solaires #oups http://t.co/n2sKAXpJVl", =
"Les Abeilles désorientées ne savent plus rentrer à la ruche: http://t.co/bG8l05ntsh", -
"Intéressant témoignage contre éoliennes | Dossier. Vent de colère sur nos villages | Valeurs Actuelles http://t.co/6zPBNYFVAh via @valeurs", +
""Tous les écologistes sont daltoniens, ils voient vert partout !"", +
"Trois-Rivières - Plan d'action 2014-2018 en développement durable - http://t.co/jwBOqbjTZy #Mauricie #MunicipalEnvironnement", =
"San Diego : des millions d'anchois offrent un spectacle époustouflant http://t.co/ASqyfH1Yut #Ecologie-conso-biodiversité-énergie", +
"Briefing par les co-présidents du Comité intergouvernemental d'experts sur le financement du développement durable (ICESDF)  ...", =
"Ah les féministes,certaines sont vraiments bornés telles des écologistes,enfin je pourrais généraliser comme elles le font avec le 15-18....", -
"Le typhon Neoguri épargne Tokyo – Changement climatique http://t.co/hAG2kyT5Yg http://t.co/eVGVbIjvnh", =
"Le typhon Neoguri épargne Tokyo – Changement climatique http://t.co/hAG2kyT5Yg", +
"5e Rapport d'évaluation du GIEC sur le changement climatique: implications pour l' #agriculture . http://t.co/YjTWIfvTUF", =
"Je viens de voir un #renard dans mon jardin. C'est beau mais j'imaginais ça plus gros. #campagne #biodiversité", +
"Coopération Sud-sud et développement durable : Lancement de l’initia http://t.co/61IMS7X7wn #Afrique #changementclimatique #coopération", +
"le débat sur le #climatechange tourne à l'Inquisition: http://t.co/ZiJghNUbQB", -
"Changement climatique: l’inquisition verte http://t.co/GohyIo3tXo", -
"1 éléphant abattu toutes les 20 minutes - Magazine GoodPlanet Info | @scoopit http://t.co/Bwgw4j69U6", -
"Ecosystème des #StartUps US et en France quel système pour doper les Start Ups #HighTech #Electronique #BioTech |  http://t.co/Wk8jQsHqbX", =
"Création de Solutions Cop 21, site web d'infos, débats, conférences sur la Conférence sur le climat ... | @scoopit http://t.co/78nEPCxrRi", +
"L'Observatoire régional de la biodiversité vient de publier une seconde synthèse sur l'état de la biodiversité en... http://t.co/18FZOJI7Qh", =
"#Biodiversité : La fourmi rousse : une étrange technique d'attaque http://t.co/ejgHEQ470k", +
"Lancement des Chemins de l'hydroélectricité - Visite des centrales hydroélectriques des Pays de Savoie | @scoopit http://t.co/PxOrZ2KnoB", +
"Ya des éoliennes tt sa", =
"La Finlande innove dans une proposition de déplacement flexible intéressante en milieu urbain, Cornelissen konsult http://t.co/zmg7z8dd1V", +
"Montpellier : un vent de corruption souffle sur les éoliennes http://t.co/7qwxWggmPM", -
"L'étonnant régime des pinsons-vampires des îles Galapagos | @scoopit http://t.co/hr3fLAfsAT #Oiseaux #Animaux #Biodiversité #Ecologie", +
"Le rôle de l'abeille est essentiel dans le maintien de la biodiversité et par là même de notre alimentation", +
"@Darty_officiel sur @bfmbusiness pour parler developpement durable, c est dans quelques instants.", =
"Fondation des Marais de Damphreux - Cigogne blanche http://t.co/kZhSgpvDdq", =
"#chamalieres Les OGM et la panne de la biodiversité agricole: Le chercheur Pierre-Henri Gouyon conteste une ce... http://t.co/iBsFLrPABc", -
"@AlbertZennou @JoachimMrgn Pendant la 2ème guerre mondiale les mouvements écologistes allemands étaient  très proches des nazi.", =
"#Sciences ▪ Les OGM et la panne de la biodiversité agricole: Le chercheur Pierre-Henri Gouyon conteste une cer... http://t.co/5QLTxZxKDL", -
"@cdion @OfficielML bravo #demain check this http://t.co/QSCPgHL0Aj une invention qui va boulverser le marché des panneaux solaires. Bon vent", +
"Fleurir les déserts | @scoopit via @dgengembre http://t.co/eBrXPNRFkl", +
"Dans la jungle ougandaise, le tourisme protège les gorilles: Dans la jungle du sud-ouest de l'Ouganda, les gor... http://t.co/dlif76as2v", +
"#StreetArt - Espace Caserne Niel - Darwin Écosystème #Bordeaux http://t.co/kICGKepA0T", =
"@stoullieux Je "t'invite" à la découverte des îles éoliennes et à faire l'ascension du volcan à Stromboli : magique ! Bonnes vacances !", +
""Dans la jungle ougandaise, le tourisme protège les gorilles" http://t.co/pqNHb1As2c", +
""Dans la jungle ougandaise, le tourisme protège les gorilles" http://t.co/pqNHb1As2c", +
"Vers un écosystème Streaming / CD / Download / Vinyle plutôt qu'un mode de consommation unique...I like it !... http://t.co/3KBc44kDxv", =
"3/4 #Royal  "investir sur les énergies renouvelables (intelligentes, C-à-dire PAS les éoliennes terrestres !), Et continuer à développer..", +
"l'industrie de la viande est la principale cause de la dévastation écologique de notre planète : déforestation, eau, changement climatique..", -
"#biodiversité Quand les pêcheurs du dimanche font avancer la science http://t.co/rutbJeriF7", +
"Les #OGM et la panne de la #biodiversité agricole  http://t.co/CptfYHt739", -
"Actu : Etang-Salé: Le développement durable invité au marché des créateurs http://t.co/37dsIQIaga #Pei / InfoZ.re", +
"RT @Fanfao: Les #OGM et la panne de la #biodiversité agricole http://t.co/wyenAE9VFo https://t.co/a9NXAnRz2k", -
"RT @Fanfao: Les #OGM et la panne de la #biodiversité agricole http://t.co/wyenAE9VFo https://t.co/a9NXAnRz2k", -
"RT @Fanfao: Les #OGM et la panne de la #biodiversité agricole http://t.co/wyenAE9VFo https://t.co/a9NXAnRz2k", -
"Parti pris écologiste : Trois villes françaises s'équipent en bus électriques Selon le site « Développement... http://t.co/EPOsmM9a6t", =
"Inondations en France : 5 territoires français spécifiques sous la loupe : - Loire Moyenne, Tours, Saint Pierre... http://t.co/6EoTxDgEkM", =
"La #biodiversité : une affaire de relations dynamiques entre des systèmes vivants, et non le grand catalogue de Noé. http://t.co/MC9w3OqQ4G", +
"#climat Incroyable ! Le Huffington Post défend les sceptiques et dénonce l’inquisition verte http://t.co/izn6wpPTvh via @HuffPostQuebec", +
"Toute incitation à la haine est étrangère aux valeurs des écologistes @eelv @Loiselet @DinahZeghir @AlbertZennou @ECOLOdep", +
"Grand Prix national Génie écologique au service de la politique de l’#eau:les candidatures st ouvertes jusqu’au 31/07 http://t.co/L2UmpMrUFb", +
"Publication du N°4  Saga sur la Nuit, #biodiversité #nocturne  via @algrap http://t.co/WDmkUtGrIL  @ISAbella_P_PARF @sekmet69 @gabricmb", =
"@V31Lisa  Solution - Grottes Géothermiques - Libérer les rescapés http://t.co/Wg8FKGSpUS via @jeuxvideofr", =
"La technologie, clé contre le changement climatique http://t.co/GJsXTmveuN", -
"SOS Changement climatique: Les pesticides ne devraient pas être automatiques http://t.co/rrYqJvi02f #lepoint", -
"Actu: "Les OGM et la panne de la biodiversité agricole" http://t.co/bDoAeNVK7m", -
"CONTACT fabriquera des chalets écologiques: La coopérative de solidarité à Saint-Elzéar-de-Bonaventure CONTACT... http://t.co/H4jMmcuLI5", =
"Le Havre : éoliennes en mer, Areva signe une convention locale - http://t.co/LDl9ukQalk via @Dailymotion", +
"Les OGM et la panne de la biodiversité agricole via @Bourdonclejm http://t.co/nPJOtLNRFl", -
"Les OGM et la panne de la biodiversité agricole  Interessant !http://t.co/jHOUNOyRr0 via @lemondefr", -
"07<07<14 - Conférence citoyenne sur le développement durable http://t.co/NQ11WX2MWy", =
"Petite réflexion autour des Google Play Services et l'impact sur l'écosystème Android http://t.co/uvYjJlIrcr http://t.co/yPxKfEKRFj", =
"Depuis le temps que l’on en parle et rien de nouveau. http://t.co/ei2p7IYoEy", =
"Le #Muséum vous emmène à la rencontre de la #Fourmi rousse Formica polyctena http://t.co/gn2E8nzAx7 Le Tour de France de la #biodiversité", =
"@VodkaAcide j'ai construit ma maison moi-même à Wentworth-Nord; elle utilise entre autre l'énergie solaire, des matériaux sains ou certifiés", +
"Saga sur la Nuit, la #biodiversité nocturne et la pollution lumineuse : Publication du N°4 de la c... via @Inongo_ http://t.co/pWwf3AdHtG", =
"A la manière dont il pleut, cet été, je me demande si nous n'entrons pas dans une neuve mousson. Changement climatique.", +
"Le Congo abrite la deuxième forêt tropical la plus vaste au monde elle es vital a la lutte contre le changement climatique @LaTeamZ 💛💙❤️", +
"La #fourmi #rousse (Le Tour de France de la biodiversité 9/21) | @scoopit via @collemyria http://t.co/Pzq9RUfNY6 #écosystème #forestier", =
"#Gouyon Pierre Henri les #OGM et la panne de la #biodiversité agricole http://t.co/4eGahmLmCB", -
"Plus l'écosystème #Chromecast grandit, plus je me dis que les set-top box des opérateurs telco ont du souci à se faire... #Google", +
"Le développement durable, cette farce qui dure | Cyrille Giraud http://t.co/IBCe4ODsdh", -
"Libellule : la voiture écologique aux 1000 km d'autonomie ! http://t.co/TXAwg0cTlG", =
"@PaulMaxit @SophieCamard @pcanfin @MicheleRivasi les oiseaux et les éoliennes LOL les chats sont biens plus violents !", -
"Panneaux solaires : les Chinois ne respectent pas les règles antidumping | @scoopit http://t.co/OlcN7wpjyX", +
"Ces crétins du #Hamas ont envoyé une roquettes sur une centrale électrique de #Gaza.", -
"Balcombe répond au gaz de schiste par l’énergie solaire http://t.co/Z3bE2AyIGn", =
"“@lemondefr: Les OGM et la panne de la biodiversité agricole http://t.co/9ICKsP8qna” intéressant @CCapdupuy", -
"#PalestineVaincra c pas possible , vs avez défoncé vous même une centrale électrique bande d'idiots de bicos", -
"@Tsahal_IDF des roquettes qui tombent que sur des stations d'essence,des terrains vagues et leur propre centrale électrique.bizarre!#GERARG", =
"Ces idiots...! Une roquette du #hamas est tombée sur une centrale électrique en #Israel privant 70 000 habitants de #gaza d'électricité ! 😂", -
"Un chaire dédiée aux techniques du béton et au développement durable http://t.co/Yfep5NvzjW via @IFFRES", =
"Mazars crée un écosystème dédié aux TPE/PME/ETI @MazarsenFrance http://t.co/z2F73rQ2Tv", +
"@oNico @MacGeneration Plutôt que de céder à la faciliter du sans contact, une construction lente d’un écosystème technologique cohérent…", +
"Ecologiste pris en flagrant delit d'antisemitisme  http://t.co/kAKHNO8L83", -
"Le mercure grimpe, les ours polaires rapetissent http://t.co/sWOuElrKeM", -
"@Gaulliste21eme nucléaire , développement d'une politique du tout électrique , énergies renouvelables ...", +
"@crosjules011 Marshall plutot ! Lui qui préfère aider les entreprises ecologiques plutot qu'avoir un gros salaire", +
"@dugastuta C'est une insulte pr les animaux de dire ça,ns sommes pire.Il existe encore des lieux où des populations respectent l'écosystème!", -
"FONO : des platines DJ en béton fonctionnant à l'énergie solaire installées dans les parcs publics - http://t.co/1aZAvL03AG #GoogleAlerts", =
"Nouvelle note sur mon blog : Tinlot éoliennes: avant son départ le ministre Henry signe le projet de 5 éolienn... http://t.co/lQ45HeWX8E", +
"MEDIA : "Chemins de la biodiversité" dans le magazine « Bretagne durable » http://t.co/wwXK39SIiR", =
"Comme quoi, le réchauffement climatique fait dire bien des âneries........ http://t.co/TTcu0LHSI5", -
"La climatisation réversible http://t.co/Xr8JRw8VGO", =
"22 / ENERGIES RENOUVELABLES : Lancement de Sillia VL http://t.co/rsy7sWn1Fg #Actualité #Entreprise #Economie - Businessman.fr", +
"#Développement #durable : les #entreprises de #Libourne s’engagent via @journalsudouest http://t.co/EnLOEnV0MC", +
"@SDE2014 @TeamRhOME remporte le Solar décathlon @Sciences_Avenir http://t.co/3dkyiPIqQf bravo à la 2nd place pour @SolarPhileas", =
"#biodiversite @RoyalSegolene  tueuse de #loup ça c'est de l' #ecologie pour sur http://t.co/uBfByQUSHS", -
"#perpignan 2eme édition du Derbi sur les énergies renouvelables https://t.co/3J3wqVtvxc … … @AndreJoffre2 @DomSchem http://t.co/UH9oUeampU", =
"La biodiversité et les hommes nuisibles .http://t.co/gCzCVMVUiW", -
"Inauguration du plus grand parc agri-solaire de Languedoc-Roussillon : quand l’énergie...  http://t.co/0lWhyfFMAk", +
"EELV montre son vrai visage sectaire et haineux: Un écologiste justifie les attaques de synagogues  http://t.co/dIp9r3ZlRz", -
"La conférence internationale sur le Développement des Énergies Renouvelables dans le Bâtiment et l’Industrie... http://t.co/OjIZOA9VV5", =
"Madame Ségolène Royale, ministre de l'écologie et du développement durable : Le renard n'est pas un animal... http://t.co/1DmfVrZIZv", =
"Et #Tsahal qui bombarde une centrale électrique à #Gaza... OH WAIT.", =
"(Repost) Félicitations à @contribuables pour leur "Enquêtes" n°6 sur les dégâts de l'écologisme http://t.co/Q02ao4COZW  3,50€ en ligne", +
"#biodiversité La Guyane vue des cîmes des arbres http://t.co/8eaVNt6EAA", =
"Découvertes surprenantes en Egypte: Preuve de haute technologie très ancienne, dont des machines à d... | @scoopit http://t.co/2hda4Hy1XW", +
"Prof environnementaliste, institutionnaliste mais lâche, @fuch11koma efface vite ses tweets de manipulation antisémite. La haine à l'école.", -
"La paix & le développement durable sont indissociables, comme en témoigne le @GlobPeaceIndex. L'analyse d' @ozonnia : http://t.co/jYIQV4CGdc", =
"L'Ecolabel Européen sur les lieux d’hébergements touristiques http://t.co/bAV4JpPQMn", =
"Big Jump ce dimanche dans la #Meuse #pollution #bigjump http://t.co/dHSAKolDEG Photos Laetitia Theunis http://t.co/VlbQzjcY1s", =
"@mysoofa a créé des bancs à énergie solaire pour charger son #smartphone ! => http://t.co/nUCWrvum3O", +
"Développement durable en ville: «convaincre plutôt que vaincre» | Infogreen http://t.co/4pXW4gsF2z via @sharethis", +
"Les éoliennes Vergnet ont une rampe de déploiement en Italie http://t.co/vDgqsGfjci", =
"[Lorraine (Développement Durable)] Observatoire de la communication et du marketing… http://t.co/HN8gMZJu72", =
"#TDF #biodiversité : Le lynx, un chasseur nocturne à la discrétion exemplaire http://t.co/k648xhbbvq", +
"Pauvre débile 😡😤Un écologiste justifie les attaques de synagogues et s'attire les foudres de son parti http://t.co/CmLNlqm8wO via @Le_Scan", -
"Cette semaine on vous propose de découvrir Valenciennes sous l'angle du développement durable, le charmant... http://t.co/rWqxppGrAM", +
"Le @lecese émet des réserves sur la réduction de la part du #nucléaire | @Lenergeek #énergies http://t.co/cY4Y2GzrSk", -
"Les #OGM et la panne de la #biodiversitéagricole http://t.co/UDcbIoIf0C via @lemondefr", -
"Vers un écosystème pour booster le secteur pharmaceutique http://t.co/zT0LUYlu5v", +
"Vidéo : Vers une réintroduction du chamois en Lozère | @scoopit http://t.co/apvKYVaM9c #Animaux #Biodiversité #Ecologie #Environnement", =
"Loup : Non à la participation des chasseurs pour 75 pourcents des avis | @scoopit http://t.co/nQ9kqh2bRu #Chasse #Animaux #Biodiversité", -
