@relation corpus_tweets_t1 
@attribute text string 
@attribute polarity {+,-,=}
@data
"#important #actu appareils mode veille : ¢chis planetaire <url> <url> #politique #tele #ps", -
"√âtats-unis : oiseaux carbonisepanneaux solaires #oups <url>", =
"abeilles ©sorientesavent rentrer a ruche: <url>", -
"interessant ©moignage eoliennes | dossier. vent colere villages | valeurs actuelles <url> <utilisateur>", +
"ecologistes daltoniens, voient vert !", +
"rivieres - plan action 2014-2018 ©veloppement durable - <url> #mauricie #municipalenvironnement", =
"san diego : anchois offrent spectacle epoustouflant <url> #ecologie-conso-biodiversite-energie", +
"briefing co-presidents comite intergouvernemental experts financement ©veloppement durable (icesdf)  ...", =
"©ministes,vraiments borneecologistes,pourrais ©©raliser font 15-18....", -
"typhon neoguri epargne tokyo ‚Äì changement climatique <url> <url>", =
"typhon neoguri epargne tokyo ‚Äì changement¬†climatique <url>", +
"5e rapport evaluation giec changement climatique: implications  #agriculture . <url>", =
"viens voir #renard jardin. beau imaginais cgros. #campagne #biodiversite", +
"cooperation sud-sud ©veloppement durable : lancement Äôinitia <url> #afrique #changementclimatique #cooperation", +
"©bat #climatechange tourne a inquisition: <url>", -
"changement climatique: Äôinquisition verte <url>", -
"1 e©phant abattu 20 minutes - magazine goodplanet info | <utilisateur> <url>", -
"ecosyste#startups us france systedoper start ups #hightech #electronique #biotech |  <url>", =
"creation solutions cop 21, site web infos, ©bats, conferences conference climat ... | <utilisateur> <url>", +
"observatoire ©gional biodiversite vient publier seconde syntheetat biodiversite .. <url>", =
"#biodiversite : fourmi rousse : etrange technique attaque <url>", +
"lancement chemins hydroelectricite - visite centrales hydroelectriques pays savoie | <utilisateur> <url>", +
"ya eoliennes tt sa", =
"finlande innove proposition ©placement flexible interessante milieu urbain, cornelissen konsult <url>", +
"montpellier : vent corruption souffle eoliennes <url>", -
"etonnant ©gime pinsons-vampires igalapagos | <utilisateur> <url> #oiseaux #animaux #biodiversite #ecologie", +
"¥abeille essentiel maintien biodiversite † ™alimentation", +
"<utilisateur> <utilisateur> parler developpement durable, instants.", =
"fondation marais damphreux - cigogne blanche <url>", =
"#chamalieres ogm panne biodiversite agricole: chercheur pierre-henri gouyon conteste .. <url>", -
"<utilisateur> <utilisateur> 2eguerre mondiale mouvements ecologistes allemands etaient  treproches nazi.", =
"#sciences ‚ñ™ ogm panne biodiversite agricole: chercheur pierre-henri gouyon conteste cer... <url>", -
"<utilisateur> <utilisateur> bravo #check this <url> invention boulverser marche panneaux solaires. vent", +
"fleurir ©serts | <utilisateur> <utilisateur> <url>", +
"jungle ougandaise, tourisme protege gorilles: jungle sud-ouest ouganda, gor... <url>", +
"#streetart - espace caserne niel - darwin √âcosyste#bordeaux <url>", =
"<utilisateur> invite a ©couverte ieoliennes a ascension volcan a stromboli : magique ! bonnes vacances !", +
"jungle ougandaise, tourisme protege gorilles <url>", +
"jungle ougandaise, tourisme protege gorilles <url>", +
"ecosystestreaming / cd / download / vinyle plutoqu'mode consommation unique...like it !... <url>", =
"3/4 #royal  investir energies renouvelables (intelligentes, a-eoliennes terrestres !), continuer a ©velopper..", +
"industrie viande principale cause ©vastation ecologique plane: ©forestation, eau, changement climatique..", -
"#biodiversite ™cheurs dimanche font avancer science <url>", +
"#ogm panne #biodiversite agricole  <url>", -
"actu : etang-sale: ©veloppement durable invite marche createurs <url> #pei / infoz.re", +
"rt <utilisateur>: #ogm panne #biodiversite agricole <url> <url>", -
"rt <utilisateur>: #ogm panne #biodiversite agricole <url> <url>", -
"rt <utilisateur>: #ogm panne #biodiversite agricole <url> <url>", -
"parti pris ecologiste : villes francaises equipent bus electriques site ¬´ ©veloppement... <url>", =
"inondations france : 5 territoires francais specifiques loupe : - loire moyenne, tours, saint pierre... <url>", =
"#biodiversite : affaire relations dynamiques systevivants, grand catalogue noe. <url>", +
"#climat incroyable ! huffington post ©fend sceptiques ©nonce Äôinquisition verte <url> <utilisateur>", +
"incitation a haine etrangere valeurs ecologistes <utilisateur> <utilisateur> <utilisateur> <utilisateur> <utilisateur>", +
"grand prix national ©nie ecologique service politique Äô#eau:candidatures st ouvertes jusqu‚Äô31/07 <url>", +
"publication ∞4  saga nuit, #biodiversite #nocturne  <utilisateur> <url>  <utilisateur> <utilisateur> <utilisateur>", =
"<utilisateur>  solution - grottes ©othermiques - liberer rescape<url> <utilisateur>", =
"technologie, © changement climatique <url>", -
"sos changement climatique: pesticides devraient etre automatiques <url> #lepoint", -
"actu: ogm panne biodiversite agricole <url>", -
"contact fabriquera chalets ecologiques: cooperative solidarite a saint-elzear-bonaventure contact... <url>", =
"havre : eoliennes mer, areva signe convention locale - <url> <utilisateur>", +
"ogm panne biodiversite agricole <utilisateur> <url>", -
"ogm panne biodiversite agricole  interessant !<url> <utilisateur>", -
"07<07<14 - conference citoyenne ©veloppement durable <url>", =
"petite ©flexion google play services impact ecosysteandroid <url> <url>", =
"temps Äôparle nouveau. <url>", =
"#museum emmea rencontre #fourmi rousse formica polyctena <url> tour france #biodiversite", =
"<utilisateur> construit maison ™a wentworth-nord; utilise energie solaire, materiaux sains certifies", +
"saga nuit, #biodiversite nocturne pollution lumineuse : publication ∞4 .. <utilisateur> <url>", =
"maniere pleut, e©, demande entrons neuve mousson. changement climatique.", +
"congo abrite deuxieforetropical vaste monde vital lutte changement climatique <utilisateur> üíõüíô‚ù§Ô∏è", +
"#fourmi #rousse (tour france biodiversite 9/21) | <utilisateur> <utilisateur> <url> #ecosyste#forestier", =
"#gouyon pierre henri #ogm panne #biodiversite agricole <url>", -
"ecosyste#chromecast grandit, set-top box operateurs telco souci a .. #google", +
"©veloppement durable, farce dure | cyrille¬†giraud <url>", -
"libellule : voiture ecologique 1000 autonomie ! <url>", =
"<utilisateur> <utilisateur> <utilisateur> <utilisateur> oiseaux eoliennes lol chats biens violents !", -
"panneaux solaires : chinois respectent ®gles antidumping | <utilisateur> <url>", +
"cretins #hamas envoye roquettes centrale electrique #gaza.", -
"balcombe ©pond gaz schiste Äôenergie¬†solaire <url>", =
"‚Äú<utilisateur>: ogm panne biodiversite agricole <url> interessant <utilisateur>", -
"#palestinevaincra possible , vs ©fonce ™centrale electrique bande idiots bicos", -
"<utilisateur> roquettes tombent stations essence,terrains vagues propre centrale electrique.bizarre!#gerarg", =
"idiots...! roquette #hamas tombecentrale electrique #israel privant <nombre> habitants #gaza electricite ! üòÇ", -
"chaire ©dietechniques ©©veloppement durable <url> <utilisateur>", =
"mazars creecosyste©die tpe/pme/eti <utilisateur> <url>", +
"<utilisateur> <utilisateur> pluto©der a faciliter contact, construction lente Äôecosystetechnologique coherent‚Ä¶", +
"ecologiste pris flagrant delit antisemitisme  <url>", -
"mercure grimpe, ours polaires rapetissent <url>", -
"<utilisateur> nucleaire , ©veloppement politique electrique , energies renouvelables ...", +
"<utilisateur> marshall plutot ! pre®re aider entreprises ecologiques plutot qu'gros salaire", +
"<utilisateur> insulte pr animaux cns pire.existe lieux π populations respectent ecosyste", -
"fono : platines dj ©fonctionnant a energie solaire installeparcs publics - <url> #googlealerts", =
"nouvelle note blog : tinlot eoliennes: ©part ministre henry signe projet 5 eolienn... <url>", +
"media : chemins biodiversite magazine ¬´ bretagne durable ¬ª <url>", =
" ©chauffement climatique aneries........ <url>", -
"climatisation ©versible <url>", =
"22 / energies renouvelables : lancement sillia vl <url> #actualite #entreprise #economie - businessman.fr", +
"#©veloppement #durable : #entreprises #libourne Äôengagent <utilisateur> <url>", +
"<utilisateur> <utilisateur> remporte solar ©cathlon <utilisateur> <url> bravo a 2nd place <utilisateur>", =
"#biodiversite <utilisateur>  tueuse #loup c #ecologie <url>", -
"#perpignan 2eme edition derbi energies renouvelables <url> ‚Ä¶ ‚Ä¶ <utilisateur> <utilisateur> <url>", =
"biodiversite hommes nuisibles .<url>", -
"inauguration grand parc agri-solaire languedoc-roussillon : Äôenergie...  <url>", +
"eelv montre vrai visage sectaire haineux: ecologiste justifie attaques synagogues  <url>", -
"conference internationale ©veloppement √ânergies renouvelables ¢timent Äôindustrie... <url>", =
"madame ©goleroyale, ministre ecologie ©veloppement durable : renard animal... <url>", =
"#tsahal bombarde centrale electrique a #gaza... wait.", =
"(repost) ©licitations a <utilisateur> enque∞6 ©¢ts ecologisme <url>  <nombre>‚Ç¨ ligne", +
"#biodiversite guyane vue Æarbres <url>", =
"©couvertes surprenantes egypte: preuve haute technologie treancienne, machines a .. | <utilisateur> <url>", +
"prof environnementaliste, institutionnaliste ¢che, <utilisateur> efface tweets manipulation antisemite. haine a ecole.", -
"paix & ©veloppement durable indissociables, ©moigne <utilisateur>. analyse  <utilisateur> : <url>", =
"ecolabel europelieux Äô©bergements touristiques <url>", =
"big jump dimanche #meuse #pollution #bigjump <url> photos laetitia theunis <url>", =
"<utilisateur> cree bancs a energie solaire charger #smartphone ! => <url>", +
"©veloppement durable ville: ¬´convaincre plutovaincre¬ª | infogreen <url> <utilisateur>", +
"eoliennes vergnet rampe ©ploiement italie <url>", =
"[lorraine (©veloppement durable)] observatoire communication marketing‚Ä¶ <url>", =
"#tdf #biodiversite : lynx, chasseur nocturne a discretion exemplaire <url>", +
"pauvre ©bile üò°üò§ecologiste justifie attaques synagogues attire foudres parti <url> <utilisateur>", -
"semaine propose ©couvrir valenciennes angle ©veloppement durable, charmant... <url>", +
"<utilisateur> emet ©serves ©duction part #nucleaire | <utilisateur> #energies <url>", -
"#ogm panne #biodiversiteagricole <url> <utilisateur>", -
"ecosystebooster secteur pharmaceutique <url>", +
"vide: ©introduction chamois lozere | <utilisateur> <url> #animaux #biodiversite #ecologie #environnement", =
"loup : a participation chasseurs 75 pourcents avis | <utilisateur> <url> #chasse #animaux #biodiversite", -
"<utilisateur> #cop21 adaptation changement climatique passe eau <url>", =
"©cessaire changer installation voulez installer panneaux solaires ! <url>", +
"<utilisateur> effectivement, Äôpris ¬´¬†following¬†¬ª  !   Äôoublie prendre compte Äôecosystecompte twitter fr.", =
"cabella montpellier a newcastle, changement climatique mal", -
"Äôue somme etats Äôoptimiser ©penses faveur enr | energie : magazine <url>", +
"210 dollars usaid biodiversite <url> #international", +
"<utilisateur> <utilisateur> <utilisateur> <utilisateur> eoliennes st proble+ complexe c reste filiere accessoire.", -
"soutiens ©veloppement durable  #ecologie ! <url> #dd #climat #crowdfunding <utilisateur> <utilisateur>", +
"#algerie: programme energies renouvelables nouvelle etape <url>", =
"validation plan togolais biodiversite ©marre 14 juillet a lome.", +
"Äôeaa appuie togo lutte ©.. <url>", +
"architecte marie centrale electrique piste ski <url> <utilisateur>", =
"#capacite totale  #eolien #offshore #europe alimenter population pays-bas <url> <utilisateur>", +
"vieilles branches mises lumiere | <utilisateur> <utilisateur> <url>", =
"<utilisateur> echomage, eoliennes panneaux solaires probleriches <utilisateur>", -
"14 juillet 2006, israel bombarde centrale electrique jiye, liban provoque + grande marenoire ©diterranebonjour gens", =
"vide: guyane vue Æarbres | <utilisateur> <url> <utilisateur> #biodiversite #sciences #ecologie #foret", =
"©pute eelv justifie attaques synagogues ! scandale arriver †... <url>", -
"carte interactive gartner a propos Äôecosysteme marketing digital <url>", =
"mauvaise nouvelle: #braconnage hausse! #rhinoceros mire braconniers <url> #biodiversite #conservation", -
"<utilisateur> conneries ecologiste", -
"imagine future ©gapoles mauvais c©truit ecosysteme", -
"vivrons changement #climatique <url> #urbanisation #securitealimentaire #faim <url>", =
"ecolos raison ©plorer absence ecologie #entretienpr. vue economique social, changement climatique", +
"rejoint groupe viadeo construction developpement durable : <url>", =
"face a ©nurie ressources natures ©veloppement durable besoin enveloppement durable", -
"utiliser energie solaire proce©industriels, pari rackam <utilisateur> <utilisateur> <url> #energie", +
"plein justesse, habitude. histoires amours plurielles  <url> <utilisateur>", +
"eelv : francois hollande oublie ecologie ®qu'ministres ecologistes gouvernement. <url>", -
"eelv : francois hollande oublie ecologie ®qu'ministres ecologistes gouvernement. <url>", -
"arnaud montebourg: ¬´ construisons france energies renouvelables, ©pendante hydrocarbures ¬ª  <url>", +
"sibelga ©conseille eoliennes a bruxelles. #reportage <url>", -
"energies renouvelables france : chiffres 2013 <url> <utilisateur>", =
"#oenotourisme: ≈ínotourisme durable - ©veloppement durable concept prend importance esprit ..", +
"plombe condor californie | courrier international (biodiversite monde vivant) <url>", -
"#biodiversite grainothetroquer semences (reportage vide <url>", =
"consultant stagiaire ©veloppement durable (#neuillysurseine) at pwc <url> #internship <url>", =
"√âoliennes!!!!!! #lame#majestic <url>", =
"bienvenue sauvages paca | sauvages paca | <utilisateur> <url>", +
"watrix: motomarine silencieuse alimente energie solaire <url>", +
"changement climatique - maladies tropicales ©barquent : bilharziose <url>", =
"pluie permis accordeph. henry co/ a tinlot : 5 eoliennes soheit terwagne <url> ", +
"environnement - 200 villes renforcent ©silience face changement climatique: attenuer .. <url>", +
"abatages #loups: <utilisateur> honte ecologie francaise <url>", -
"<utilisateur> qe ecologistes parlent #environnement lieu compromission permanente pr qlques place...s", -
"<utilisateur> <utilisateur> capteurs solaires. captait rayons soleil rentraient classe ...", =
"bel article montre culture ecosystefragile base ©cessaire diversite culturelle  <url>", +
"verts sais compris ecologie politique bat couilles üëç", -
"ecologie plait capital cpermet refourguer nouvelles technologies ©shumanisantes destructrices paysages.", -
"eoliennes, solaire, transport commun culpabilise prolo voiture,  #lt", -
"roanne : plombier-chauffagiste  - installateur conseil energies renouvelables climatisation :  <url>", =
"energies renouvelables : double consecration maroc a onu sonia mezzour, secretaire ©©ral agence... <url>", +
"audio]¬†ministere Äôenvironnement ©veloppement durable ... - <url> <url>", =
"<utilisateur> parle economie vie quotidienne francais viens a parler ecologie : emplois verts, eco-industries", =
"pied eoliennes quevy (, raisin gorge saveurs vendanges <url>", =
"#environnement #energie essoufflement ? eolien mer: baisse nombre nouvelles eoliennes <url> <utilisateur>", -
"chasse: 16 accidents mortels anne<url> #chasse #animaux #biodiversite #chasseurs #environnement #ecologie", =
"#climatechange : 200 villes renforcent ©silience face changement climatique <url> <utilisateur>", +
"actualite &gt; appareils connectemode veille : ¢chis planetaire: <url>", -
"<utilisateur> <utilisateur> .. part ecologie , capprend amusant economisant ! beau !", +
"'berkati/france-2014' news 14 juillet ecologie vision Äôavenir | eur‚Ä¶ <url> see more <url>", =
"dirigeants balkans veulent renforcer cooperation economique <url> #ecologie", +
"centrale electrique solaire etait ©† super, †, ilest ! <url> #ipad #ipadgames #gameinsight", +
"<utilisateur> ferme portes <url> perte Äôecosysteque©cois Äôinnovation", =
"etats-unis - sauvetage ©lican brun animaux sauvages floride <url> #biodiversite-©silienceduvivant", +
"agriculture. eleveurs engagent biodiversite - <url> #googlealerts", +
"lieu #tunisie pays ©nophobe (timbre carte ©jour 10), taxe sacs plastiques. #tngov #√âcologie", -
"eolien mer: baisse nombre nouvelles eoliennes ‚Äì entreprises ‚Äì actualite ‚Äì¬†trends.be <url>", =
"14 juillet rouen voitures milieu spectateurs, ecologie autrement yvon robert <url>", =
"‚Äú<utilisateur>: ¬´¬†angers, bus ©lo paient voiture !¬†¬ª europe-ecologie. <url> choix clair!", =
"200 villes renforcent ©silience changement climatique. #c40  <url>", +
"<utilisateur> bonjour ecologie", =
"#©bat | enjeux treimportants <url> peur #biodiversite ? > <utilisateur> <utilisateur>", +
"<utilisateur> absolument faux. #hamas vise roquettes centrale electrique alimente #gaza... trelogique.", -
"#internship: consultant stagiaire ©veloppement durable (#neuillysurseine) <url> <url>", =
"pwc is hiring consultant stagiaire ©veloppement durable (#neuillysurseine) <url> #internship <url>", =
"panneaux photovoltaiques: richard tauvel consultant energie solaire propose services .. <url>", =
"energies renouvelables : double consecration maroc a onu <url>", +
"#assnat etait temps questionne gaspillage argent projets ¢tisseur,romaine.pire eoliennes", -
"programme energies renouvelables nouvelle etape (page 1 of 2) <url> #afrique", =
"bal parfume chambre. mis a bruler ¢tonnets encens, histoire planter ecosysteermite ...", +
"<utilisateur> turfurication equations ecosystebipolaire fonction puissance energetique magnetique chargeüòß", =
"razmetkus, concept route connecte routes transformer enormes panneaux solaires, . <url>", =
"groupe ecologiste ©plore menaces pesant parcs nationaux: ottawa - groupe environnemental... <url>", +
"groupe ecologiste inquiesort parcs nationaux: groupe environnemental ©nonce etat parcs... <url>", -
"©ponse <url> <utilisateur>: guyane #©trole : militants ecologistes opposent a shell <url>", =
"eleveurs groupement fermiers ancenis engagent biodiversite <url> cc <utilisateur> #aei #agriconfiance", +
"chronique droits homme - ogm panne biodiversite agricole <url>", -
"groupe ecologiste inquiesort parcs nationaux  <url>", -
"adaptation changement climatique: adaptation emerge dimension incontournable .. <url>", +
"reporterre - adaptation changement climatique: adaptation emerge dimension incont... <url>", +
"reporterre - adaptation changement climatique <url> | <url> #©seaufdg", =
"#climat - lire : adaptation changement climatique <url> <utilisateur>", =
"#bordeaux argent garonne : biodiversite fleuve menacepollution ©taux <url>", -
"#biodiversite permaculture crejardins-forets comestibles... <url>", =
"suivi migration a organbidexka | <utilisateur> <url> #oiseaux #biodiversite #sciences #environnement #ecologie", =
"©†  porcs pouvoir qu'touchent souille! ©sastre ecologique <url>", -
"<utilisateur> #norme #pollution #metaux #ecologie argent bonheur... <url>", -
"#biodiversite : engadine : rendre ©serve grisonne sauvage <url>", -
"<utilisateur> <utilisateur> gorges, verraient ™eoliennes.", =
"boum: 200 villes renforcent ©silience face changement climatique <url>", +
"#tdf : linaigrette a feuilles etroites (tour france #biodiversite 11/21) <url>", =
"#dd 200 #villes renforcent #©silience face #changement #climatique <url>", +
"<utilisateur> acce©rer processus : bonus ecologique ve #transitionenergetique #petition <url>", =
"#fin4ag14 #open  rhoda peace: reduire risques liechangement climatique ©velopper #agriculture", +
"[carnac] 15 juillet : conference ¬´ Äôecologie humaine ¬ª <url>", =
"belle initiative : #bordeaux, premiere epicerie ©ro emballage. #ecologie  <url>", +
"lightsail propulsera espace uniquement a #energie #solaire <url> #role_energies", +
"correze - maison ossature bois ecologique: socie© maisons novella, implantebulgarie, speciali... <url>", =
"solar ©cathlon : Äôinnovation rayonne a versailles : <url>", +
"moustiques tigre, tiques, sarcoptes: invasion france? | <utilisateur> <url>", =
"engin a energie solaire lance espace 2016 - up magazine | <utilisateur> <url>", +
"canada : groupe ecologiste inquiesort parcs nationaux. #environnement <url>", -
"exposition pesticides altere reperes spatiaux abeilles | <utilisateur> <url>", -
"<utilisateur> heureusement compense eoliennes.", +
"etablir cadre ©glementaire stable previsible faveur energies renouvelables‚Ä¶ <url>", +
"pierre #rabhi, nom terre #bruxellesfaitsoncinema : a 22h, place cardinal mercier a jette #ecologie <url>", =
"plombe condor californie | <utilisateur> <url>", -
"video : louisiana island, 2014 generation of pelicans may be last - <url> #birds #oiseaux #biodiversity #biodiversite", =
"gouvernement ©compense entreprises ecologiques - bioaddict <url>", +
"var : #gendarmes vont patrouiller voiture electrique <url> francebleu.fr", =
"panneaux photovolta√Øques atelier communal - ouest-france | <utilisateur> <url>", =
